Obs 	 Max_Range 	 Max_Alt 
1 	  2469.4230 	  2804.5710 
2 	  3419.2850 	  2192.4210 
3 	  2177.3160 	  1937.5270 
4 	  2441.5010 	  1504.8850 
5 	  1964.8090 	  1861.4620 
6 	  3260.5610 	  4277.6780 
7 	  2323.4640 	   997.0500 
8 	  2176.2040 	  4966.0790 
9 	  1895.1160 	  2346.8320 
10 	  2626.2010 	  2843.9330 
11 	  2179.2900 	  3350.9320 
12 	  1659.8040 	  3124.2090 
13 	  1719.6390 	  2077.5650 
14 	  3302.4530 	  3216.1880 
15 	  1955.2460 	  1504.1520 
16 	  3121.2650 	  5164.4270 
17 	  1360.5790 	  2660.9940 
18 	  3158.3330 	  1684.9660 
19 	  2365.1000 	  1380.8170 
20 	  2531.4640 	  5372.6700 
21 	  1678.6040 	  1836.2150 
22 	  2563.7890 	  4336.1690 
23 	  1671.1280 	  1466.0190 
24 	  1979.5640 	  4053.7110 
25 	  2393.3740 	  4646.2080 
26 	  3230.4270 	  1330.8020 
27 	  3215.2030 	  5842.1320 
28 	  1927.5620 	  1030.6920 
29 	  2841.4260 	  4161.5650 
30 	  1535.8030 	  3417.1240 
31 	  2829.0510 	  1233.6230 
32 	  2345.3030 	  5391.0450 
33 	  2482.5880 	  3524.8180 
34 	  2505.8220 	  3959.3350 
35 	  2513.9880 	  2461.4540 
36 	  1901.2720 	  1422.3150 
37 	  3107.8520 	  1771.9940 
38 	  1945.5380 	  4871.4180 
39 	  2654.8990 	  5389.9140 
40 	  2832.6050 	  3041.0520 
41 	  2847.6300 	  4674.5080 
42 	  2410.8800 	  4779.5390 
43 	  2496.7990 	  1571.7410 
44 	  2969.8610 	  2616.7410 
45 	  2835.6330 	  4395.7060 
46 	  1963.9890 	  3332.5110 
47 	  1775.7080 	  3312.6960 
48 	  1657.4700 	  1375.6670 
49 	  1720.9590 	  3783.2210 
50 	  2792.7550 	  1878.9730 
51 	  2214.8150 	  4148.3400 
52 	  1572.8960 	  2624.6350 
53 	  1481.8250 	  2549.6120 
54 	  2155.4710 	  5663.1570 
55 	  3795.7260 	  3891.2390 
56 	  2207.7070 	  4802.0720 
57 	  2871.8490 	  3283.0920 
58 	  2518.9160 	  3697.7740 
59 	  2225.3230 	  1573.2430 
60 	  1978.9380 	  2594.3880 
61 	  3217.3370 	  5607.4490 
62 	  3355.5720 	  5158.2910 
63 	  1989.0810 	  2166.8120 
64 	  1770.5300 	  1295.1110 
65 	  1440.5560 	  3295.0820 
66 	  2447.3650 	  4422.0630 
67 	  1988.5570 	  2096.3620 
68 	  2303.8470 	  3334.5450 
69 	  4260.1980 	  3309.5750 
70 	  3123.1360 	  4232.7140 
71 	  1987.5610 	  3488.6860 
72 	  2639.7650 	  2949.4420 
73 	  2273.8570 	  3756.2140 
74 	  2777.7510 	  1131.5980 
75 	  1711.2690 	  2477.5590 
76 	  2141.0310 	  2677.2380 
77 	  3021.6860 	  1944.6000 
78 	  1778.6100 	  3737.7910 
79 	  2075.9110 	  1935.1200 
80 	  4169.9070 	  2451.1250 
81 	  2039.2790 	  4459.9230 
82 	  2090.9670 	  3900.0350 
83 	  2082.4180 	  3564.8920 
84 	  3365.8070 	  2450.6440 
85 	  2735.9430 	  2991.4310 
86 	  3260.4480 	  3519.5840 
87 	  3707.2000 	  2017.9050 
88 	  1307.8380 	  2713.5260 
89 	  1856.4290 	  2103.4320 
90 	  2121.0380 	  2400.6070 
91 	  3613.4690 	  3773.4700 
92 	  2014.6250 	  3445.5990 
93 	  3094.3610 	  6203.4650 
94 	  2408.6010 	  3539.7830 
95 	  4436.0390 	  3730.3540 
96 	  2506.7950 	  3009.9500 
97 	  1635.8290 	  3483.2250 
98 	  2534.2130 	  1571.8510 
99 	  1630.6920 	  2070.1720 
100 	  3428.0430 	  3363.7570 
101 	  1832.5700 	  2530.7380 
102 	  2160.7290 	  2313.0370 
103 	  2733.1790 	  2521.0860 
104 	  3745.1600 	  4636.2630 
105 	  3283.1000 	  6682.2180 
106 	  1877.0430 	  3134.8210 
107 	  3300.0790 	  3230.7500 
108 	  2086.0590 	  3551.5970 
109 	  3543.7400 	  2363.5470 
110 	  1921.4500 	  2106.1610 
111 	  3539.4850 	  5146.7550 
112 	  2131.4120 	  2651.8120 
113 	  2022.9400 	  1800.1870 
114 	  1996.1850 	  2809.0300 
115 	  2787.1560 	  4288.4440 
116 	  3685.0260 	  2049.2320 
117 	  2318.1310 	  1779.3540 
118 	  1901.4210 	  1477.5420 
119 	  2060.7040 	  1254.8820 
120 	  2365.0440 	  1184.6350 
121 	  3487.5120 	  4139.4470 
122 	  1894.4380 	  4242.7000 
123 	  2578.7700 	  5339.4640 
124 	  2449.4990 	  1633.0990 
125 	  1754.5470 	  1926.1740 
